('24987-游戏3D角色美术（上海）', '设计类', '1', '上海', '2018-06-05')
('WXG01-117 微信客户端业务开发工程师-小程序业务方向（广州）', '技术类', '2', '广州', '2018-06-05')
('WXG01-117 微信客户端业务开发工程师-小游戏业务方向（广州）', '技术类', '1', '广州', '2018-06-05')
('19116-互联网+营销策划经理（深圳）', '市场类', '1', '深圳', '2018-06-05')
('22967-大客户广告策划经理（广州）', '市场类', '1', '广州', '2018-06-05')
('22989-腾讯云专项技术支持工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('27087-腾讯开放平台部投资经理（深圳）', '市场类', '1', '深圳', '2018-06-05')
('MIG15-高级平台产品经理(腾讯叮当）', '产品/项目类', '1', '深圳', '2018-06-05')
('20503-AI应用后端开发工程师（上海）', '技术类', '2', '上海', '2018-06-05')
('25664-系统应用运维-数字广东公司（腾讯投资）（广州）', '技术类', '1', '广州', '2018-06-05')
('25664-网络安全-数字广东公司（腾讯投资）（广州）', '技术类', '1', '广州', '2018-06-05')
('18924-行政秘书（上海）', '职能类', '1', '上海', '2018-06-05')
('27559-大型多人竞技游戏业务分析经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('27559-大型多人竞技游戏海外英语PM（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('27559-大型多人竞技游戏数据分析师（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('25923-数据可视化前端开发工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('TEG02-loRa网络研发工程师（深圳）', '技术类', '6', '深圳', '2018-06-05')
('25664-网络运维-数字广东公司（腾讯投资）（广州）', '技术类', '1', '广州', '2018-06-05')
('18924-行政秘书（北京）', '职能类', '1', '北京', '2018-06-05')
('27559-大型多人竞技游戏平台内外部合作运营（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('27559-大型多人竞技游戏本地化运营策划（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('25666-25666-客户接待经理（深圳）', '市场类', '4', '深圳', '2018-06-05')
('18924-部门秘书（深圳）', '职能类', '3', '深圳', '2018-06-05')
('25421-用户服务管理（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('25421-微博生态运营（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('MIG16-自动驾驶云数据平台产品经理', '产品/项目类', '1', '北京', '2018-06-05')
('27559-大型多人竞技游戏社区与用户运营（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('27559-大型多人竞技游戏营销推广策划（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('TEG02-loRa网络规划工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('TEG02-云网络系统设计师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('21528-海外版权商务拓展（北京）', '市场类', '1', '北京', '2018-06-05')
('25666-工业互联—高级销售（北京、上海、广州、深圳）', '市场类', '8', '深圳', '2018-06-05')
('22989-腾讯云售后技术支持（深圳/北京/成都）', '技术类', '3', '深圳', '2018-06-05')
('SD9-互娱3D特效师(深圳)', '设计类', '1', '深圳', '2018-06-05')
('20772-腾讯视频音乐视频版权拓展（北京）', '市场类', '2', '北京', '2018-06-05')
('26833-投资公司HR管理（深圳）', '职能类', '1', '深圳', '2018-06-05')
('27730-经纪中心总监', '市场类', '1', '北京', '2018-06-05')
('25664-腾讯云政务民生行业产品运营经理（深圳）', '产品/项目类', '2', '深圳', '2018-06-05')
('25668-腾讯云市场营销经理（深圳）', '市场类', '2', '深圳', '2018-06-05')
('SNG01-QQ高级产品经理（深圳）', '产品/项目类', '3', '深圳', '2018-06-05')
('25663-腾讯云医疗行业解决方案架构师（北京/上海/深圳）', '技术类', '1', '深圳', '2018-06-05')
('25663-腾讯云医疗行业解决方案架构师（北京/上海/深圳）', '技术类', '1', '上海', '2018-06-05')
('23675-产品合作经理（北京）', '产品/项目类', '1', '北京', '2018-06-05')
('21229-游戏评估分析师（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('22989-腾讯云售后技术支持-Oracle数据库支持（深圳/北京/成都）', '技术类', '3', '深圳', '2018-06-05')
('17759-腾讯视频漫画频道运营', '内容编辑类', '1', '北京', '2018-06-05')
('MIG16-腾讯地图iOS客户端高级开发工程师', '技术类', '1', '北京', '2018-06-05')
('27087-生态产品中心品牌营销负责人（北京）', '市场类', '1', '深圳', '2018-06-05')
('25663-腾讯云医疗行业解决方案架构师（北京/上海/深圳）', '技术类', '1', '北京', '2018-06-05')
('19881-游戏发行/运营培训生（深圳）', '产品/项目类', '3', '深圳', '2018-06-05')
('S2-财经外联与拓展（上海）', '职能类', '2', '上海', '2018-06-05')
('26833-组织发展经理（深圳）', '职能类', '1', '深圳', '2018-06-05')
('27087-腾讯开放平台高级项目经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('21229-游戏评估分析师（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('21229-创新品类游戏市场分析（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('21229-创新品类游戏市场分析（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('27730-滤镜特效设计师（深圳）', '设计类', '1', '深圳', '2018-06-05')
